idx	fname	t	tier1	tier2	tier3	n_speakers
1	25.11.2022_11.11.csv	347	0	0	0	0
1	25.11.2022_11.11.csv	348	0	0	0	0
1	25.11.2022_11.11.csv	349	0	0	0	0
1	25.11.2022_11.11.csv	350	0	0	0	0
1	25.11.2022_11.11.csv	351	0	0	0	0
1	25.11.2022_11.11.csv	352	0	0	0	0
1	25.11.2022_11.11.csv	353	0	0	0	0
1	25.11.2022_11.11.csv	354	0	0	0	0
1	25.11.2022_11.11.csv	355	0	0	0	0
1	25.11.2022_11.11.csv	356	0	0	0	0
1	25.11.2022_11.11.csv	357	0	0	0	0
1	25.11.2022_11.11.csv	358	0	0	0	0
1	25.11.2022_11.11.csv	359	0	0	0	0
1	25.11.2022_11.11.csv	360	0	0	0	0
1	25.11.2022_11.11.csv	361	0	0	0	0
1	25.11.2022_11.11.csv	362	0	0	0	0
1	25.11.2022_11.11.csv	363	0	0	0	0
1	25.11.2022_11.11.csv	364	0	0	0	0
1	25.11.2022_11.11.csv	365	0	0	0	0
1	25.11.2022_11.11.csv	366	0	0	0	0
1	25.11.2022_11.11.csv	367	0	0	0	0
1	25.11.2022_11.11.csv	368	0	0	0	0
1	25.11.2022_11.11.csv	369	0	0	0	0
1	25.11.2022_11.11.csv	370	0	0	0	0
1	25.11.2022_11.11.csv	371	0	0	0	0
1	25.11.2022_11.11.csv	372	0	0	0	0
1	25.11.2022_11.11.csv	373	0	0	0	0
1	25.11.2022_11.11.csv	374	0	0	0	0
1	25.11.2022_11.11.csv	375	0	0	0	0
1	25.11.2022_11.11.csv	376	0	0	0	0
1	25.11.2022_11.11.csv	377	0	0	0	0
1	25.11.2022_11.11.csv	378	0	0	0	0
1	25.11.2022_11.11.csv	379	0	0	0	0
1	25.11.2022_11.11.csv	380	0	0	0	0
1	25.11.2022_11.11.csv	381	0	0	0	0
1	25.11.2022_11.11.csv	382	0	0	0	0
1	25.11.2022_11.11.csv	383	0	0	0	0
1	25.11.2022_11.11.csv	384	0	0	0	0
1	25.11.2022_11.11.csv	385	0	0	0	0
1	25.11.2022_11.11.csv	386	0	0	0	0
1	25.11.2022_11.11.csv	387	0	0	0	0
1	25.11.2022_11.11.csv	388	0	0	0	0
1	25.11.2022_11.11.csv	389	0	0	0	0
1	25.11.2022_11.11.csv	390	0	0	0	0
1	25.11.2022_11.11.csv	391	0	0	0	0
1	25.11.2022_11.11.csv	392	0	0	0	0
1	25.11.2022_11.11.csv	393	0	0	0	0
1	25.11.2022_11.11.csv	394	0	0	0	0
1	25.11.2022_11.11.csv	395	0	0	0	0
1	25.11.2022_11.11.csv	396	0	0	0	0
1	25.11.2022_11.11.csv	397	0	0	0	0
1	25.11.2022_11.11.csv	398	0	0	0	0
1	25.11.2022_11.11.csv	399	0	0	0	0
1	25.11.2022_11.11.csv	400	0	0	0	0
1	25.11.2022_11.11.csv	401	0	0	0	0
1	25.11.2022_11.11.csv	402	0	0	0	0
1	25.11.2022_11.11.csv	403	0	0	0	0
1	25.11.2022_11.11.csv	404	0	0	0	0
1	25.11.2022_11.11.csv	405	0	0	0	0
1	25.11.2022_11.11.csv	406	0	0	0	0
1	25.11.2022_11.11.csv	407	0	0	0	0
1	25.11.2022_11.11.csv	408	0	0	0	0
1	25.11.2022_11.11.csv	409	0	0	0	0
1	25.11.2022_11.11.csv	410	0	0	0	0
1	25.11.2022_11.11.csv	411	0	0	0	0
1	25.11.2022_11.11.csv	412	0	0	0	0
